country,year,gdp_per_capita
AL,2000,1700
AL,2001,1850
AL,2002,1940
AL,2003,2060
AL,2004,2180
AL,2005,2310
AL,2006,2460
AL,2007,2630
AL,2008,2850
AL,2009,2960
AL,2010,3090
AL,2011,3180
AL,2012,3230
AL,2013,3260
AL,2014,3330
AL,2015,3410
AL,2016,3530
AL,2017,3670
AL,2018,3830
AL,2019,3920
AL,2020,3810
AT,2000,31710
AT,2001,31990
AT,2002,32360
AT,2003,32520
AT,2004,33200
AT,2005,33710
AT,2006,34700
AT,2007,35870
AT,2008,36280
AT,2009,34830
AT,2010,35390
AT,2011,36300
AT,2012,36390
AT,2013,36180
AT,2014,36130
AT,2015,36140
AT,2016,36390
AT,2017,36980
AT,2018,37690
AT,2019,38070
AT,2020,35390
AT,2021,36740
AT,2022,38080
BE,2000,29890
BE,2001,30110
BE,2002,30490
BE,2003,30680
BE,2004,31640
BE,2005,32200
BE,2006,32800
BE,2007,33760
BE,2008,33640
BE,2009,32700
BE,2010,33330
BE,2011,33460
BE,2012,33490
BE,2013,33490
BE,2014,33870
BE,2015,34360
BE,2016,34620
BE,2017,35050
BE,2018,35510
BE,2019,36110
BE,2020,34060
BE,2021,36250
BE,2022,37040
BG,2000,2990
BG,2001,3210
BG,2002,3420
BG,2003,3620
BG,2004,3870
BG,2005,4170
BG,2006,4480
BG,2007,4800
BG,2008,5120
BG,2009,4970
BG,2010,5080
BG,2011,5320
BG,2012,5390
BG,2013,5390
BG,2014,5470
BG,2015,5700
BG,2016,5910
BG,2017,6120
BG,2018,6330
BG,2019,6630
BG,2020,6400
BG,2021,6950
BG,2022,7680
CH,2000,51950
CH,2001,52510
CH,2002,52100
CH,2003,51700
CH,2004,52750
CH,2005,53880
CH,2006,55730
CH,2007,57400
CH,2008,58310
CH,2009,56340
CH,2010,57730
CH,2011,58220
CH,2012,58290
CH,2013,58650
CH,2014,59300
CH,2015,59600
CH,2016,60170
CH,2017,60420
CH,2018,61690
CH,2019,61950
CH,2020,60190
CH,2021,62950
CH,2022,64000
CY,2000,20130
CY,2001,20700
CY,2002,21230
CY,2003,21520
CY,2004,22300
CY,2005,23050
CY,2006,23740
CY,2007,24420
CY,2008,24680
CY,2009,23550
CY,2010,23460
CY,2011,22970
CY,2012,21840
CY,2013,20450
CY,2014,20310
CY,2015,21120
CY,2016,22410
CY,2017,23470
CY,2018,24500
CY,2019,25510
CY,2020,24360
CY,2021,26530
CY,2022,27490
CZ,2000,11230
CZ,2001,11620
CZ,2002,11830
CZ,2003,12260
CZ,2004,12840
CZ,2005,13650
CZ,2006,14530
CZ,2007,15250
CZ,2008,15500
CZ,2009,14690
CZ,2010,15020
CZ,2011,15310
CZ,2012,15170
CZ,2013,15160
CZ,2014,15480
CZ,2015,16290
CZ,2016,16670
CZ,2017,17490
CZ,2018,17990
CZ,2019,18460
CZ,2020,17400
CZ,2021,18020
CZ,2022,18460
DE,2000,28910
DE,2001,29370
DE,2002,29290
DE,2003,29100
DE,2004,29470
DE,2005,29730
DE,2006,30930
DE,2007,31920
DE,2008,32320
DE,2009,30580
DE,2010,31940
DE,2011,33200
DE,2012,33280
DE,2013,33330
DE,2014,33920
DE,2015,34130
DE,2016,34610
DE,2017,35410
DE,2018,35650
DE,2019,35950
DE,2020,34550
DE,2021,35630
DE,2022,36010
DE,2023,35590
DK,2000,42190
DK,2001,42390
DK,2002,42430
DK,2003,42490
DK,2004,43520
DK,2005,44400
DK,2006,45990
DK,2007,46210
DK,2008,45700
DK,2009,43220
DK,2010,43840
DK,2011,44240
DK,2012,44170
DK,2013,44410
DK,2014,44890
DK,2015,45630
DK,2016,46720
DK,2017,47740
DK,2018,48450
DK,2019,48970
DK,2020,47680
DK,2021,50740
DK,2022,51660
EE,2000,7540
EE,2001,8040
EE,2002,8640
EE,2003,9350
EE,2004,10050
EE,2005,11070
EE,2006,12230
EE,2007,13230
EE,2008,12590
EE,2009,10770
EE,2010,11060
EE,2011,11890
EE,2012,12320
EE,2013,12540
EE,2014,12960
EE,2015,13230
EE,2016,13620
EE,2017,14410
EE,2018,14920
EE,2019,15450
EE,2020,15260
EE,2021,16350
EE,2022,16250
EL,2000,17430
EL,2001,18050
EL,2002,18690
EL,2003,19730
EL,2004,20670
EL,2005,20740
EL,2006,21840
EL,2007,22500
EL,2008,22370
EL,2009,21350
EL,2010,20150
EL,2011,18130
EL,2012,16940
EL,2013,16630
EL,2014,16830
EL,2015,16900
EL,2016,16890
EL,2017,17110
EL,2018,17430
EL,2019,17780
EL,2020,16150
EL,2021,17600
EL,2022,18710
ES,2000,21460
ES,2001,22190
ES,2002,22430
ES,2003,22680
ES,2004,23020
ES,2005,23420
ES,2006,24000
ES,2007,24380
ES,2008,24200
ES,2009,23100
ES,2010,23040
ES,2011,22770
ES,2012,22080
ES,2013,21850
ES,2014,22220
ES,2015,23090
ES,2016,23780
ES,2017,24440
ES,2018,24890
ES,2019,25180
ES,2020,22250
ES,2021,23690
ES,2022,24910
ES,2023,25210
FI,2000,30510
FI,2001,31230
FI,2002,31690
FI,2003,32250
FI,2004,33440
FI,2005,34250
FI,2006,35490
FI,2007,37210
FI,2008,37330
FI,2009,34150
FI,2010,35080
FI,2011,35810
FI,2012,35140
FI,2013,34660
FI,2014,34390
FI,2015,34460
FI,2016,35330
FI,2017,36380
FI,2018,36740
FI,2019,37150
FI,2020,36220
FI,2021,37170
FI,2022,37670
FR,2000,28930
FR,2001,29290
FR,2002,29410
FR,2003,29440
FR,2004,30050
FR,2005,30320
FR,2006,30850
FR,2007,31400
FR,2008,31310
FR,2009,30250
FR,2010,30690
FR,2011,31210
FR,2012,31160
FR,2013,31170
FR,2014,31320
FR,2015,31540
FR,2016,31770
FR,2017,32360
FR,2018,32800
FR,2019,33250
FR,2020,30630
FR,2021,32490
FR,2022,33180
HR,2000,7940
HR,2001,8510
HR,2002,8990
HR,2003,9500
HR,2004,9890
HR,2005,10310
HR,2006,10830
HR,2007,11380
HR,2008,11610
HR,2009,10780
HR,2010,10670
HR,2011,10700
HR,2012,10480
HR,2013,10480
HR,2014,10480
HR,2015,10810
HR,2016,11290
HR,2017,11800
HR,2018,12250
HR,2019,12740
HR,2020,11700
HR,2021,13610
HR,2022,14660
HU,2000,7910
HU,2001,8250
HU,2002,8670
HU,2003,9050
HU,2004,9520
HU,2005,9950
HU,2006,10360
HU,2007,10410
HU,2008,10530
HU,2009,9850
HU,2010,9980
HU,2011,10190
HU,2012,10120
HU,2013,10330
HU,2014,10790
HU,2015,11220
HU,2016,11500
HU,2017,12020
HU,2018,12690
HU,2019,13310
HU,2020,12730
HU,2021,13690
HU,2022,14350
IE,2000,33280
IE,2001,34510
IE,2002,35910
IE,2003,36390
IE,2004,38190
IE,2005,39480
IE,2006,40390
IE,2007,41270
IE,2008,38580
IE,2009,36270
IE,2010,36710
IE,2011,37030
IE,2012,36830
IE,2013,37080
IE,2014,40070
IE,2015,49420
IE,2016,49730
IE,2017,53750
IE,2018,57610
IE,2019,59840
IE,2020,63120
IE,2021,72110
IE,2022,77430
IS,2000,28570
IS,2001,29310
IS,2002,29220
IS,2003,29670
IS,2004,31620
IS,2005,33190
IS,2006,34310
IS,2007,36360
IS,2008,36230
IS,2009,33480
IS,2010,32650
IS,2011,33150
IS,2012,33330
IS,2013,34510
IS,2014,34710
IS,2015,35870
IS,2016,37610
IS,2017,38280
IS,2018,39090
IS,2019,38940
IS,2020,35550
IS,2021,36560
IS,2022,38230
IT,2000,27430
IT,2001,27950
IT,2002,27960
IT,2003,27850
IT,2004,28040
IT,2005,28100
IT,2006,28490
IT,2007,28740
IT,2008,28250
IT,2009,26600
IT,2010,26940
IT,2011,27030
IT,2012,26160
IT,2013,25620
IT,2014,25620
IT,2015,25860
IT,2016,26240
IT,2017,26730
IT,2018,27030
IT,2019,27230
IT,2020,24910
IT,2021,27120
IT,2022,28180
LT,2000,5230
LT,2001,5620
LT,2002,6050
LT,2003,6740
LT,2004,7270
LT,2005,7960
LT,2006,8690
LT,2007,9770
LT,2008,10130
LT,2009,8720
LT,2010,9050
LT,2011,9820
LT,2012,10330
LT,2013,10810
LT,2014,11290
LT,2015,11620
LT,2016,12070
LT,2017,12760
LT,2018,13400
LT,2019,14060
LT,2020,14060
LT,2021,14870
LT,2022,15100
LU,2000,72640
LU,2001,73990
LU,2002,75580
LU,2003,76620
LU,2004,78730
LU,2005,79460
LU,2006,82910
LU,2007,88250
LU,2008,86430
LU,2009,82100
LU,2010,83650
LU,2011,82660
LU,2012,82030
LU,2013,82700
LU,2014,82880
LU,2015,82810
LU,2016,84840
LU,2017,84090
LU,2018,83510
LU,2019,84280
LU,2020,82130
LU,2021,86690
LU,2022,86130
LV,2000,5250
LV,2001,5650
LV,2002,6120
LV,2003,6700
LV,2004,7340
LV,2005,8210
LV,2006,9280
LV,2007,10280
LV,2008,10050
LV,2009,8760
LV,2010,8550
LV,2011,8940
LV,2012,9680
LV,2013,9980
LV,2014,10270
LV,2015,10760
LV,2016,11110
LV,2017,11590
LV,2018,12140
LV,2019,12300
LV,2020,11940
LV,2021,12870
LV,2022,13280
ME,2006,4580
ME,2007,4890
ME,2008,5230
ME,2009,4920
ME,2010,5050
ME,2011,5200
ME,2012,5060
ME,2013,5230
ME,2014,5320
ME,2015,5500
ME,2016,5660
ME,2017,5920
ME,2018,6230
ME,2019,6480
ME,2020,5490
ME,2021,6230
ME,2022,6650
MK,2000,2620
MK,2001,2530
MK,2002,2580
MK,2003,2640
MK,2004,2770
MK,2005,2920
MK,2006,3080
MK,2007,3300
MK,2008,3500
MK,2009,3510
MK,2010,3650
MK,2011,3750
MK,2012,3750
MK,2013,3880
MK,2014,4030
MK,2015,4190
MK,2016,4330
MK,2017,4390
MK,2018,4540
MK,2019,4750
MK,2020,4580
MK,2021,4830
MT,2000,13750
MT,2001,13480
MT,2002,13730
MT,2003,14200
MT,2004,14120
MT,2005,14510
MT,2006,14820
MT,2007,15470
MT,2008,15960
MT,2009,15660
MT,2010,16440
MT,2011,16450
MT,2012,16970
MT,2013,17650
MT,2014,18610
MT,2015,19920
MT,2016,20130
MT,2017,21700
MT,2018,22510
MT,2019,23180
MT,2020,20830
MT,2021,23320
MT,2022,24650
NL,2000,35060
NL,2001,35610
NL,2002,35460
NL,2003,35350
NL,2004,35920
NL,2005,36570
NL,2006,37780
NL,2007,39120
NL,2008,39810
NL,2009,38160
NL,2010,38470
NL,2011,38880
NL,2012,38340
NL,2013,38180
NL,2014,38580
NL,2015,39170
NL,2016,39810
NL,2017,40730
NL,2018,41450
NL,2019,41980
NL,2020,40130
NL,2021,42390
NL,2022,43800
NO,2000,62040
NO,2001,63000
NO,2002,63530
NO,2003,63750
NO,2004,65920
NO,2005,67240
NO,2006,68330
NO,2007,69600
NO,2008,69070
NO,2009,66880
NO,2010,66580
NO,2011,66440
NO,2012,67350
NO,2013,67220
NO,2014,67830
NO,2015,68390
NO,2016,68580
NO,2017,69720
NO,2018,69840
NO,2019,70150
NO,2020,68850
NO,2021,71160
NO,2022,72650
PL,2000,6450
PL,2001,6530
PL,2002,6660
PL,2003,6900
PL,2004,7250
PL,2005,7510
PL,2006,7970
PL,2007,8540
PL,2008,8900
PL,2009,9060
PL,2010,9320
PL,2011,9790
PL,2012,9940
PL,2013,10030
PL,2014,10420
PL,2015,10890
PL,2016,11220
PL,2017,11800
PL,2018,12500
PL,2019,13070
PL,2020,12810
PL,2021,13770
PL,2022,14620
PT,2000,16230
PT,2001,16430
PT,2002,16470
PT,2003,16250
PT,2004,16500
PT,2005,16600
PT,2006,16840
PT,2007,17230
PT,2008,17260
PT,2009,16710
PT,2010,16990
PT,2011,16720
PT,2012,16110
PT,2013,16050
PT,2014,16260
PT,2015,16620
PT,2016,17010
PT,2017,17650
PT,2018,18190
PT,2019,18670
PT,2020,17100
PT,2021,18090
PT,2022,19310
RO,2000,3780
RO,2001,3980
RO,2002,4350
RO,2003,4470
RO,2004,4970
RO,2005,5230
RO,2006,5690
RO,2007,6190
RO,2008,6880
RO,2009,6550
RO,2010,6340
RO,2011,6650
RO,2012,6810
